snowfall,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,TOTAL,Elnino,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Sunspots,ssOCT,ssNOV,ssDEC,ssJAN,ssFEB,ssMar,ssApr,ssMay,ssJun,ssJul,ssAug,ssSep,avgtmp,sepDT,octDT,novDT,decDT,janDT,febDT,marDT,aprDT,mayDT,juneDT,julDT,augDT,SuperiorIce,NovIce,DecIce,JanIce,FebIce,MarIce,AprIce,MayIce,JunIce
1890-91,1,12.2,12,33,28.5,22,2.5,0,111.2,1890-1891,3.6,2.6,0.6,15.6,-3.6,-9.5,4.5,-0.3,-1.5,-6.3,-8.9,-10.6,1890-1891,18,15,13,22,36,17,34,68,80,98,55,89,1890-1891,52.9,44.1,32.6,NA,NA,NA,NA,NA,49.6,NA,NA,61.9,,,,,,,,,
1891-92,0,31,23,44,18,12.5,1,0,129.5,1891-1892,0.6,-4.7,-4.5,2.7,-10.2,11.1,6.9,10,19.6,7.4,5.9,6.3,1891-1892,86,69,54,115,126,83,116,132,127,127,169,104,1891-1892,61.3,44.1,27.2,28.6,12.6,18,23.2,33.6,45.6,58,67.6,65,,,,,,,,,
1892-93,0,23,44,24.5,16.5,17,13,1,139,1892-1893,8.5,-0.7,3.7,11.3,7.7,-1.4,1.2,-3.5,10.7,14,7.8,5.7,1892-1893,117,108,131,125,121,109,146,141,149,147,215,129,1892-1893,57.9,46.1,27.6,17.9,6.8,9.7,20.5,30.4,45.5,64.3,65.3,63.5,,,,,,,,,
1893-94,1,30,48.5,37,14.5,23,10,1,165,1893-1894,7.9,2.6,1.6,17.5,10,5.6,-3,-5.1,-1.5,-2.3,-5.7,-1.6,1893-1894,133,125,156,138,141,87,136,168,164,176,117,110,1893-1894,54.1,43.9,30.6,15.8,16.8,14.5,27.5,39.3,45.8,65.1,66.7,61.3,,,,,,,,,
1894-95,0,29.5,18.3,74,9,5.25,0,1.5,137.55,1894-1895,1.8,7.2,0.1,5.6,3,-0.3,-7.1,-8.2,-4.7,-0.4,-6.3,-4,1894-1895,125,94,100,105,112,101,128,112,119,79,114,96,1894-1895,60.4,45.9,26.2,26.1,13.8,12.7,19.9,41.5,53.6,59.9,62,62.5,,,,,,,,,
1895-96,2.8,14,62,29,15.8,6,8.5,0,138.1,1895-1896,-5.6,-8.6,-3.5,1.3,4.9,-6.3,-8.8,-42.2,-30.6,-20.6,-22.4,-19,1895-1896,113,78,117,48,95,86,73,46,81,75,45,102,1895-1896,57.1,40.1,30.7,23.2,18.6,18.2,19.7,39.8,53.9,62.4,65,62.9,,,,,,,,,
1896-97,3,37,16.7,36.5,18.5,12,1.5,2,127.2,1896-1897,-19,-11.9,-14.2,-12.5,-7.4,-16.6,-17.8,-16.9,0.2,-2.3,0.8,0.2,1896-1897,47,63,71,67,49,48,51,33,18,46,36,80,1896-1897,53.1,42.7,26.3,24.5,17,20.4,23.1,38,48.5,55.3,67.9,60.8,,,,,,,,,
1897-98,1,13,36.5,19.5,20,12,1.5,0,103.5,1897-1898,1.8,-8,10.3,7,6.3,19.2,11.1,-1.9,-2.3,6.1,2.1,3.2,1897-1898,23,14,55,50,60,63,24,43,37,15,52,58,1897-1898,61.9,48.5,27.8,19.8,21,18.9,30.4,39.4,49.7,58.3,65.5,61.7,,,,,,,,,
1898-99,1.2,15.3,36,30.5,15,13,0,6.5,112.5,1898-1899,-0.7,-2.7,-0.4,13.2,9.1,13.8,4.5,-7.4,-10.4,-5.6,-10.1,-1.6,1898-1899,57,51,21,32,15,30,23,12,34,22,4,14,1898-1899,58.3,43.2,32.7,19.9,14.2,8.6,14.8,39.4,48.3,59.8,64.4,64.4,,,,,,,,,
1899-00,0,1,42.5,22,19.5,13,0,0,100,1899-1900,6.1,15.8,-3,-7.3,-6.5,-25.3,-18.7,-7.4,26.1,10,7.8,-16.6,1899-1900,21,13,17,15,22,14,26,25,20,13,7,13,1899-1900,50.7,47,39.8,20.5,19.7,9.1,19.2,45.5,52.4,59.6,63.2,67.3,,,,,,,,,
1900-01,0,13.5,20,32.5,15,18.5,0,0,99.5,1900-1901,-17.2,-6,-5.5,-0.1,3,9.4,4.5,-0.3,19.6,14.6,9.8,-16,1900-1901,21,7,0,0,4,7,0,17,9,1,1,0,1900-1901,56.1,53.6,29,20.9,16.8,12.2,21.8,41.4,52.2,60,65.9,63.9,,,,,,,,,
1901-02,0,15,31,43,24,12,7.5,0,132.5,1901-1902,-22.1,-8.6,-1.9,17,-2.2,11.6,7.8,7.6,2.6,1.6,-8.9,-17.8,1901-1902,6,6,0,9,0,20,0,4,2,1,3,12,1901-1902,54.6,44.8,28.8,19.3,17.3,20.7,33,38,49.8,54.2,65.9,61.5,,,,,,,,,
1902-03,0.8,8,52,22,24,11,18,3,138.8,1902-1903,-7.4,-3.4,-3,-9.2,-10.2,17.6,17.7,7.6,-0.6,6.1,0.1,8.7,1902-1903,27,17,1,13,28,22,43,24,27,46,48,18,1902-1903,53.4,43.4,35.2,19.5,15.3,15.6,27.3,36.5,51.5,59.1,63.1,59,,,,,,,,,
1903-04,0,39,52,33.5,11,21,10.5,3,170,1903-1904,4.2,1.3,15.9,14.1,16.2,9.4,31.7,9.2,-7.1,-8.9,0.8,0.2,1903-1904,64,74,76,52,40,61,71,65,69,84,97,50,1903-1904,53.8,47.5,29.9,15.4,11.4,5.1,21.2,34.3,50.7,59.7,61.5,60.8,,,,,,,,,
1904-05,0.25,16.25,55.5,37,14.5,7.5,5.5,3,139.5,1904-1905,1.2,-17.2,2.6,-9.2,-16.8,-30.2,-42.6,-37.4,-31.4,-21.3,-7.6,-7,1904-1905,90,63,91,91,143,94,65,79,81,121,98,91,1904-1905,53.1,43.6,36.5,19.5,13.3,12.5,26.5,38.1,47.2,57.6,63.3,64.2,,,,,,,,,
1905-06,6.25,24.25,31,22,27,25,0.5,0,136,1905-1906,-5.6,-17.9,-13.1,-3.5,-7.4,-5.2,-8.8,1.3,-3.9,6.8,15.5,18.3,1905-1906,131,178,92,75,52,107,92,96,105,172,79,93,1905-1906,59.1,43.2,32.5,24.8,23.1,15.4,19.2,42.2,48.3,61.2,65.3,65.2,,,,,,,,,
1906-07,1,27,40.5,39,10,16.5,35,2.5,171.5,1906-1907,9.1,21.7,4.7,5.1,1.6,-0.3,4.5,10,8.3,-4.3,-8.2,0.2,1906-1907,29,64,108,127,180,101,87,71,67,82,90,141,1906-1907,60.9,44.8,33.4,19,11.1,11.9,24.7,27.9,38.7,61.5,64,61.6,,,,,,,,,
1907-08,0,18.5,19.5,19,26.5,20.5,12,0,116,1907-1908,0.6,-2,8.8,-10.6,7.7,0.2,16.8,-1.1,-2.3,2.2,5.3,17.7,1907-1908,109,102,78,65,56,47,96,68,80,65,150,144,1907-1908,52.7,42.5,30.3,22.4,19,15.8,22.1,37.7,49.6,61,65,63,,,,,,,,,
1908-09,0,30,28.5,25,28.5,16.25,19,4,151.25,1908-1909,7.9,2.6,-5.5,-2.5,-3.2,-0.3,-14.5,2.1,22.8,10.7,9.8,0.8,1908-1909,53,75,65,94,77,110,53,60,37,59,38,64,1908-1909,62.7,48.3,33.5,19.8,15.4,14.5,24.4,31.8,46.7,60.9,63.9,65.4,,,,,,,,,
1909-10,10,20.5,40.5,51,24,0.5,9,0.5,156,1909-1910,4.2,9.2,4.7,5.6,15.2,12.7,5.3,0.5,22,20.5,9.8,15.3,1909-1910,97,93,90,44,52,35,14,36,20,23,19,43,1909-1910,55,43.2,35.5,20.1,17.4,11.9,35.4,41.3,46.4,64.2,66.3,62.8,,,,,,,,,
1910-11,4,21,33,29.5,32,11,5.5,0,136,1910-1911,10.3,19.7,15.9,3.2,1.6,3.5,2,-8.2,-12,-12.8,-12.1,-8.8,1910-1911,63,8,9,5,15,13,27,15,3,5,6,6,1910-1911,55.1,47.3,26.7,18,12.9,20.4,27.1,38.8,53.5,61.4,64.4,61.4,,,,,,,,,
1911-12,1,31.5,29,40,7,4,8,0,120.5,1911-1912,-11.7,-7.3,-1.4,-9.7,-17.3,-9,-21.1,-13,-6.3,-0.4,-7.6,-4,1911-1912,4,7,3,0,0,8,7,7,6,4,0,15,1911-1912,52.9,43.1,26,25.4,-1.2,8.2,16.9,36.1,48.5,57.9,63.4,56.6,,,,,,,,,
1912-13,0,12,46,29,33,30,7,0,157,1912-1913,-8,2.6,-8,-3.5,-5,1.3,-6.3,-8.2,-3.9,-1.7,-7.6,-9.4,1912-1913,7,1,10,3,4,0,1,0,0,2,0,2,1912-1913,55.7,47.2,32.7,21.6,14.4,8.7,18.4,40,46.4,62,60.8,62.7,,,,,,,,,
1913-14,3,4,4,25,23,12,16,0,87,1913-1914,-9.2,-11.9,-7,-5.4,2,9.4,-14.5,-0.3,-16.8,-18,-17.2,-12.4,1913-1914,5,1,6,4,4,5,28,8,19,9,12,21,1913-1914,54.1,42.6,35.3,27.7,18.5,7.8,22.3,33.6,53.8,59.2,66.3,62.4,,,,,,,,,
1914-15,0,6,21,40,12,6,1,0.25,86.25,1914-1915,-8.6,-11.9,-1.4,-21.6,-2.2,-20.4,-17.8,-12.2,6.6,14,7.2,7.5,1914-1915,13,27,37,38,70,64,68,55,114,119,116,82,1914-1915,57,50.3,30.3,15.7,13.5,22.3,24.2,45.7,46.4,54.2,60.2,60.5,,,,,,,,,
1915-16,1.5,9,25,53,23,22,4,0,137.5,1915-1916,2.4,-14.6,9.8,5.6,-3.6,-6.3,-0.5,6.8,9.1,25.7,16.2,4.5,1915-1916,89,70,57,75,92,111,119,124,112,89,58,75,1915-1916,56.3,44.8,32.8,22.4,14.1,10.1,17.5,35.5,47.5,54,70.4,65.2,,,,,,,,,
1916-17,5,8,46,19,13,27,4,0,122,1916-1917,6.1,9.8,15.4,5.1,10,18.1,21.8,21.8,21.2,28.3,34.8,29.7,1916-1917,84,109,88,124,119,158,124,190,191,199,257,215,1916-1917,53.5,43.1,29.5,15.5,10,2.5,22.3,32.2,45.6,53.7,65,59.4,,,,,,,,,
1917-18,2,4,46,40,6,4,1,0,103,1917-1918,15.2,21,22.5,14.6,16.6,-2,16.8,10,-4.7,-14.1,-4.4,-8.2,1917-1918,120,160,215,160,108,120,134,127,99,179,169,133,1917-1918,53.8,35.1,33,11.2,5.8,9.5,29,37.6,48.7,56.5,61.9,62.7,,,,,,,,,
1918-19,2,11,38,18,29,5,1,2,106,1918-1919,-5,1.3,-8,-14.9,-11.2,-12.8,-3,-7.4,-10.4,-8.9,-6.9,-5.8,1918-1919,141,139,98,80,132,110,86,146,185,107,115,91,1918-1919,48.7,45.2,34.9,25,21.8,21,25.7,37.4,51.8,64.2,67,64.2,,,,,,,,,
1919-20,9,41,53,27,11,18,6.5,0,165.5,1919-1920,-10.5,-11.3,-9.1,1.8,-1.7,-4.1,0.3,-2.7,6.6,9.4,5.3,5.1,1919-1920,88,69,58,85,89,116,24,55,64,45,31,60,1919-1920,56.2,40.6,27.2,11.9,6,12.4,24.7,31.7,51.8,59.9,62.3,63.3,,,,,,,,,
1920-21,0,17,41,19,19,15,0,1.5,112.5,1920-1921,-4.3,-0.1,9.8,10.8,6.7,8.9,-7.1,2.1,22,2.9,-6.9,5.1,1920-1921,82,45,49,52,47,44,54,37,56,69,38,29,1920-1921,60.3,52.4,30.4,22.6,19.9,20.8,25.2,44.4,52.4,66.3,72,63.9,,,,,,,,,
1921-22,1,16.5,25,41.5,34.5,4,11,0,133.5,1921-1922,9.7,8.5,8.2,8,9.1,5.6,-5.5,-5.1,5.8,2.2,-1.2,5.1,1921-1922,30,29,33,19,43,91,18,13,9,18,10,7,1921-1922,59.3,45.7,25.7,19.5,13.4,13.8,27.6,37.5,58.7,61.6,62.4,62.5,,,,,,,,,
1922-23,1.49,5.25,46,48.5,27,5.8,6.5,0.25,140.79,1922-1923,6.1,8.5,11.8,5.6,4.4,8.9,8.6,2.1,1,-11.5,-18.5,-14.8,1922-1923,10,12,29,7,2,5,10,5,15,5,0,22,1922-1923,58.1,42.9,33.1,17,15.1,8.6,14.2,34.9,49.5,63.6,64.2,58.4,,,,,,,,,
1923-24,8.25,6,25,45,11,5,3.5,0,103.75,1923-1924,-6.2,-12.6,2.1,-5.4,1.1,2.4,-15.4,11.5,8.3,7.4,10.4,8.1,1923-1924,19,16,4,0,8,3,18,34,40,46,32,41,1923-1924,54,42.2,34.4,26.9,6.2,17.5,24.1,34,41.8,54,59.6,60.3,,,,,,,,,
1924-25,0,17.25,44,17,11,6,0,0,95.25,1924-1925,7.9,11.8,5.2,5.6,13.8,14.9,14.4,-1.1,-4.7,-13.4,-10.8,-6.4,1924-1925,42,37,27,9,38,30,53,71,79,64,63,100,1924-1925,51.4,51.5,31.1,12.4,14.6,16.3,24.5,42.8,47,60,63.8,67.4,,,,,,,,,
1925-26,8.5,4,18.5,17,11,21.5,3.5,0.5,84.5,1925-1926,-12.9,-9.3,-7,-5.4,-14.5,-13.3,-7.1,-2.7,-7.1,-1,-7.6,1.4,1925-1926,115,97,164,119,116,104,64,107,122,87,102,101,1925-1926,56.3,35.7,30.2,17.7,15.1,17.3,18.1,31.9,50.9,55.1,63.2,62.1,,,,,,,,,
1926-27,5.5,31.5,30.5,15,23,1,2,0,108.5,1926-1927,4.2,1.3,6.2,5.1,1.1,18.1,6.9,6,8.3,6.1,-5,-0.4,1926-1927,119,100,132,136,155,116,155,131,98,91,89,114,1926-1927,51,40.1,25.3,15.8,12,17.1,28.9,37.3,44.1,57.5,62,60.1,,,,,,,,,
1927-28,0,24.25,58.48,36.75,12,9,26,0,166.48,1927-1928,-4.3,-8,7.7,-10.1,10.5,13.8,11.9,-2.7,-7.9,-0.4,9.8,8.1,1927-1928,105,112,75,139,122,142,134,128,152,163,139,149,1927-1928,59,45.8,28,14.9,15.7,14.5,22.7,32.9,51,55.1,64,64.2,,,,,,,,,
1928-29,0,1.2,25.8,61,14,11,1,1.5,115.5,1928-1929,9.1,2.6,11.8,16,18,5.1,4.5,-12.2,1,1.6,0.1,-0.4,1928-1929,102,83,98,114,104,83,87,97,119,117,109,57,1928-1929,50.9,44,32.2,24.2,7.3,8.1,26.6,38.4,48.1,57.6,65.3,63.3,,,,,,,,,
1929-30,5.5,19.5,36.2,42.5,12,8.8,1,0,125.5,1929-1930,7.9,11.1,5.7,12.7,7.7,1.8,-3.8,2.1,-5.5,-4.3,-1.8,-7,1929-1930,90,135,179,108,83,58,63,61,48,36,41,53,1929-1930,55,43.7,27.2,18.2,9.5,18.6,23.6,39.3,51.6,62.1,64.8,67.2,,,,,,,,,
1930-31,2.8,6,23,21.5,12.5,11.5,4,0,81.3,1930-1931,3.6,1.9,-1.4,7,-14.9,5.6,8.6,13.1,18.8,9.4,0.1,5.1,1930-1931,57,59,43,24,71,50,52,40,25,29,21,31,1930-1931,56.1,43.8,33.3,20.8,20.3,24.1,26.3,40.2,49.6,61.7,67.9,64,,,,,,,,,
1931-32,0,3,5,33.5,25,23,2.5,0,92,1931-1932,-12.9,-4.7,4.7,1.8,-3.6,-2.5,-2.1,2.8,-4.7,-5,-6.9,-8.8,1931-1932,16,31,29,20,17,18,18,29,36,16,11,6,1931-1932,61.4,51.2,38,27.7,23.4,18.2,19.4,36.2,52.4,63.3,64.3,66.4,,,,,,,,,
1932-33,12,10,35.75,15,23,14.2,5.5,0,115.45,1932-1933,-4.3,-4.7,3.2,-11.1,4.9,-2,3.6,6,-3.9,3.5,-0.5,2,1932-1933,14,13,18,20,36,16,4,5,8,4,0,8,1932-1933,58.3,42.6,28.3,19.3,20.9,13,23,35.7,52.5,66.5,67,64.5,,,,,,,,,
1933-34,7.5,25.25,30.5,21,11,14.25,15.25,0,124.75,1933-1934,3.6,7.2,8.2,6.5,0.1,0.2,6.1,-7.4,10.7,2.9,-22.4,-6.4,1933-1934,5,1,0,5,12,7,18,32,11,15,13,6,1933-1934,58.7,40.9,25.1,14.5,20.3,8.6,20,34.3,55,58.5,65.4,60.4,,,,,,,,,
1934-35,0.5,13,54,59,11,7.5,1.5,0,146.5,1934-1935,4.2,13.1,-2.4,6.5,-4.6,12.2,2.8,-6.6,-2.3,-0.4,2.1,6.3,1934-1935,9,14,25,31,34,38,20,45,76,56,50,70,1934-1935,53.1,46.3,32.9,18,12.2,18.3,24.7,35.4,48.4,55.9,69.4,65.7,,,,,,,,,
1935-36,1.2,28.25,41.25,50.5,38,15.75,2,0.5,177.45,1935-1936,7.3,3.9,-4,-2,0.6,1.8,22.6,4.4,-1.5,4.2,-8.9,2.6,1935-1936,88,107,102,104,123,128,124,90,116,87,145,126,1935-1936,54.1,44.9,27.3,19.7,12.7,1.7,23.7,31.5,51.9,57.6,70.1,62.9,,,,,,,,,
1936-37,1.75,25.5,25.25,77,51,2.5,8,0,191,1936-1937,-0.1,-13.9,0.6,9.4,-5,6.2,2,-0.3,3.4,-5.6,3.3,0.8,1936-1937,148,192,205,220,214,139,182,194,217,241,229,167,1936-1937,57.3,39.8,25,21.4,11,16,18.9,34.9,51,59.4,65,67.9,,,,,,,,,
1937-38,1.5,15.2,42.5,46,12.5,8.5,1,0,127.25,1937-1938,-2.5,-2,6.7,7.5,3.4,-3.6,3.6,13.1,18,18.5,13,7.5,1937-1938,208,123,147,164,198,144,168,212,162,275,192,149,1937-1938,54.2,40,28.6,17.4,13.2,18.9,29.2,39.1,49.7,58.2,64.4,67.2,,,,,,,,,
1938-39,2,23,51,41.5,60,35,13.5,0,226,1938-1939,12.8,1.9,13.8,17,7.7,11.6,9.4,-1.1,-1.5,8.1,-0.5,-9.4,1938-1939,165,203,154,133,129,107,181,197,168,162,176,187,1938-1939,54.9,49.2,30.8,21.1,17.2,11.5,20.4,32.9,50.8,58.4,65.8,63.5,,,,,,,,,
1939-40,4,2,25.5,61,27.5,31.5,12.5,8,172,1939-1940,-14.7,-8,-8.6,-0.1,-4.1,-10.6,-9.6,-14.5,-19.3,-15.4,-18.5,-19.6,1939-1940,146,113,70,84,99,138,101,90,139,112,175,110,1939-1940,55.7,42.4,33,27.3,13.5,19.7,19.5,35.2,45.5,56.8,65.7,63.4,,,,,,,,,
1940-41,0,27,30.5,51,43.5,10.5,7,0,169.5,1940-1941,-18.4,-6.7,-29.4,-9.7,-15.4,-10.6,-11.2,-6.6,-14.4,-20.6,-19.1,-8.2,1940-1941,91,97,113,76,74,77,54,49,99,111,100,109,1940-1941,57.9,46.6,29.4,21.3,16.8,17.4,21.7,44.4,54.6,61.4,68,63.2,,,,,,,,,
1941-42,0,15,25.5,41.5,29,33,1,2,147,1941-1942,-20.2,-9.3,-8.6,-13,-3.6,-5.8,-5.5,5.2,8.3,-1,4,8.7,1941-1942,77,64,56,59,87,90,101,41,18,29,33,28,1941-1942,58.1,45.6,31.9,25.5,17.6,17.1,28.6,45.8,49.6,60.4,62.8,63.8,,,,,,,,,
1942-43,7,22,66,39.5,26.5,31,9.5,0,208,1942-1943,8.5,-4,13.8,9.4,10.5,4,13.5,2.8,-7.9,2.9,7.8,5.7,1942-1943,32,51,37,20,48,45,43,23,12,22,32,16,1942-1943,53.6,46.3,29.9,16.8,11.7,15.9,18,35.2,49.7,58.5,68.3,63.8,,,,,,,,,
1943-44,0,13,24,13.5,20,43,4,0,117.5,1943-1944,9.1,3.9,-8.6,-8.2,3.9,5.6,-5.5,-1.1,-3.9,-8.9,3.3,2.6,1943-1944,13,17,31,6,0,18,0,4,8,8,27,23,1943-1944,52.3,45.7,28.7,20.2,24.1,16.4,21.1,35.7,54.4,59.3,65.7,65.7,,,,,,,,,
1944-45,0,14,42.5,68.5,59,7,18.5,0.5,212,1944-1945,-8.6,-6.7,4.2,5.1,6.3,13.2,-7.1,-0.3,8.3,3.5,11.7,8.7,1944-1945,28,17,47,30,21,35,53,51,60,71,43,58,1944-1945,55.6,45.7,35.3,18.1,11.9,16.6,34.5,37.4,44.1,55.9,61.2,64.2,,,,,,,,,
1945-46,0,17.5,77,47,29,8,7,0.5,186,1945-1946,2.4,-3.4,6.7,-2.5,4.4,-2,-9.6,-11.4,-9.6,-10.2,-4.4,-16,1945-1946,114,76,45,79,143,127,126,141,122,193,178,157,1945-1946,56.3,44.1,29.9,17.9,15.5,12.8,35.9,40.2,48.9,57.8,66.3,62.2,,,,,,,,,
1946-47,2,14,42,30.5,60.5,18.5,8.5,0,176,1946-1947,-12.3,-1.4,-5.5,-4.9,-4.1,11.6,-4.6,-13.7,2.6,9.4,7.2,11.7,1946-1947,170,206,202,163,188,183,212,285,232,223,267,239,1946-1947,56.9,48.8,32.5,20.4,18.1,15,23.7,33.1,43.9,56.2,66,69.4,,,,,,,,,
1947-48,0,52,50,44,16,18,2,0,182,1947-1948,-1.9,9.2,5.2,-3,-2.7,-4.1,2.8,3.6,-4.7,0.9,-4.4,-7.6,1947-1948,231,181,164,153,122,134,268,246,237,201,223,202,1947-1948,56.6,54.4,28.5,20.7,9.5,11.6,20.4,39.4,47.4,56.6,65,64.8,,,,,,,,,
1948-49,0.5,17.5,61,47,45,18,0,0,189,1948-1949,6.1,4.6,-5.5,-7.3,2,5.6,1.2,-5.8,-12,-1.7,-4.4,2,1948-1949,192,135,195,168,258,223,208,150,172,178,175,205,1948-1949,58.9,45.2,33.6,19.2,18,13.1,21.4,40.4,48.7,62,64.6,65.1,,,,,,,,,
1949-50,0.5,31,26.5,89,41,31,28,7,254,1949-1950,5.4,-6,7.7,5.1,17.6,17.6,16.8,7.6,26.9,21.1,12.3,6.9,1949-1950,186,203,166,143,134,155,160,150,118,128,120,72,1949-1950,51.7,47.6,30.5,20.2,10.8,14.4,17.4,28.3,46.3,57.1,59.9,56,,,,,,,,,
1950-51,0,35,85,49,49,26,13,0,257,1950-1951,17.1,12.5,23,16.5,9.6,-1.4,-1.3,-6.6,5,-8.2,-0.5,-7,1950-1951,87,77,76,85,84,79,131,153,142,87,86,117,1950-1951,53.4,46,26.3,17.6,12.7,13,19.6,36.2,52.1,55.7,63,58,,,,,,,,,
1951-52,7,33,62,35,9,21,10,0,177,1951-1952,-8,-3.4,-3,-9.2,-7.9,0.2,-8.8,6,7.4,3.5,-3.7,-3.4,1951-1952,73,74,65,57,32,31,41,33,52,56,77,40,1951-1952,51.2,42.2,23.4,17.7,15.4,18.3,20.9,40.7,48.5,58.8,64.5,61.9,,,,,,,,,
1952-53,1,13,18,39.5,59,12,17,0,159,1952-1953,1.8,-0.7,-12.6,2.2,-6,-5.8,-0.5,-31.9,-2.3,-1,-17.2,-13,1952-1953,34,31,48,37,5,14,39,18,31,12,33,28,1952-1953,55.7,39,31.3,25,17.3,16.9,25.4,34.1,48,58.6,63.8,66,,,,,,,,,
1953-54,0,8,20,43,13,21,1.5,11,117.5,1953-1954,-0.1,-2,-4,6,-3.6,-0.9,6.9,4.4,-1.5,4.2,10.4,4.5,1953-1954,12,2,3,0,0,15,2,1,0,7,12,2,1953-1954,53.6,48.9,35.8,22.6,13.1,23.6,20.7,35.2,41.8,60.7,62.3,60.7,,,,,,,,,
1954-55,4,14.25,6,51.5,12.5,54,0.5,0,142.75,1954-1955,1.8,3.9,12.8,-5.4,15.2,2.9,-3,13.1,16.4,19.2,14.9,14.1,1954-1955,10,13,11,33,29,7,16,41,45,38,58,60,1954-1955,52.3,42.3,34.3,21.8,16,14.9,19.2,44.3,52.3,61.9,69.3,67.6,,,,,,,,,
1955-56,0,30.25,77.5,40,17,12,12.5,4,193.25,1955-1956,15.2,15.1,9.3,11.3,12.4,9.4,11.1,17.9,12.3,12.6,11,0.2,1955-1956,83,126,108,104,175,167,156,193,165,182,240,245,1955-1956,54.4,46,28.2,16.5,19.1,16.9,20.3,33.6,44.9,61.5,60.1,62.4,,,,,,,,,
1956-57,0,29.5,36.5,58.5,26,5,12,0,167.5,1956-1957,18.3,1.9,10.3,5.6,-2.2,-0.9,1.2,-12.2,-2.3,0.9,-9.5,-10.6,1956-1957,219,285,272,233,184,222,248,233,284,265,223,334,1956-1957,51,50.3,31.7,21,8.7,14.9,23.1,38.4,48.8,57.2,65.3,62.2,,,,,,,,,
